,index,train,validation
0,ksvm_kfun=rbf_lambda_=0.03_kparam=0.03_lr=0.1__deepfeatures,0.9242584745762711,0.9666666666666661
1,ksvm_kfun=rbf_lambda_=0.02_kparam=0.003_lr=0.01__deepfeatures,0.47722457627118603,0.433333333333333
2,ksvm_kfun=rbf_lambda_=0.001_kparam=0.1_lr=0.02__deepfeatures,0.43114406779661,0.38666666666666605
3,ksvm_kfun=rbf_lambda_=0.001_kparam=0.01_lr=0.001__color_histogram,0.344279661016949,0.33333333333333304
4,ksvm_kfun=rbf_lambda_=0.002_kparam=0.02_lr=0.02__rgb_cooccurrence_matrix,0.33156779661016905,0.33333333333333304
5,"mlp-feature_func=deepfeatures-layers=[1024, 3]-lr=0.01-epochs=100-batchsize=10",1.0,0.9933333333333331
6,"mlp-feature_func=deepfeatures-layers=[1024, 3]-lr=0.01-epochs=10000-batchsize=10",1.0,0.9933333333333331
7,"mlp-feature_func=deepfeatures-layers=[1024, 3]-lr=0.03-epochs=100-batchsize=10",1.0,0.9933333333333331
8,"mlp-feature_func=deepfeatures-layers=[1024, 3]-lr=0.002-epochs=10000-batchsize=10",1.0,0.9933333333333331
9,"mlp-feature_func=deepfeatures-layers=[1024, 3]-lr=0.3-epochs=10000-batchsize=10",0.9835805084745761,0.986666666666666
